Time - Voltage	Amplitude - Voltage
0.939941	-3.42704
0.94043	-1.92923
0.940918	0.220246
0.941406	2.28577
0.941895	3.55411
0.942383	3.58483
0.942871	2.3713
0.943359	0.332684
0.943848	-1.83226
0.944336	-3.38061
0.944824	-3.77144
0.945312	-2.8732
0.945801	-0.998158
0.946289	1.20895
0.946777	2.99246
0.947266	3.7329
0.947754	3.17448
0.948242	1.51562
0.94873	-0.674401
0.949219	-2.64691
0.949707	-3.71885
0.950195	-3.51616
0.950684	-2.11461
0.951172	0.00142495
0.95166	2.10925
0.952148	3.48097
0.952637	3.6399
0.953125	2.53508
0.953613	0.549996
0.954102	-1.63714
0.95459	-3.27406
0.955078	-3.79194
0.955566	-3.01147
0.956055	-1.20809
0.956543	1.00005
0.957031	2.85586
0.95752	3.71666
0.958008	3.28363
0.958496	1.71223
0.958984	-0.457997
0.959473	-2.48567
0.959961	-3.66728
0.960449	-3.59379
0.960937	-2.29305
0.961426	-0.217028
0.961914	1.92465
0.962402	3.39533
0.962891	3.68283
0.963379	2.69097
0.963867	0.764838
0.964355	-1.43577
0.964844	-3.15652
0.965332	-3.79868
0.96582	-3.13998
0.966309	-1.41334
0.966797	0.787661
0.967285	2.71044
0.967773	3.68776
0.968262	3.38217
0.96875	1.90311
0.969238	-0.239689
0.969727	-2.31435
0.970215	-3.60385
0.970703	-3.65874
0.971191	-2.46415
0.97168	-0.435145
0.972168	1.73424
0.972656	3.29833
0.973145	3.71261
0.973633	2.83712
0.974121	0.977103
0.974609	-1.23068
0.975098	-3.02911
0.975586	-3.79334
0.976074	-3.25971
0.976562	-1.6148
0.977051	0.572538
0.977539	2.5551
0.978027	3.64687
0.978516	3.46911
0.979004	2.08721
0.979492	-0.0211012
0.97998	-2.13611
0.980469	-3.52854
0.980957	-3.7116
0.981445	-2.62699
0.981934	-0.651537
0.982422	1.53823
0.98291	3.19042
0.983398	3.73063
0.983887	2.97417
0.984375	1.18533
0.984863	-1.02116
0.985352	-2.89093
0.98584	-3.77498
0.986328	-3.36587
0.986816	-1.81027
0.987305	0.35558
0.987793	2.39123
0.988281	3.5934
0.98877	3.54367
0.989258	2.26431
0.989746	0.197427
0.990234	-1.95074
0.990723	-3.44075
0.991211	-3.75249
0.991699	-2.7812
0.992187	-0.866223
0.992676	1.33496
0.993164	3.071
0.993652	3.73577
0.994141	3.10059
0.994629	1.3907
0.995117	-0.808309
0.995605	-2.74323
0.996094	-3.7441
0.996582	-3.4622
0.99707	-1.99957
0.997559	0.137874
0.998047	2.21999
0.998535	3.52821
0.999023	3.60709
0.999512	2.43405
1	0.41523
1.000488	-1.75891
1.000977	-3.34183
1.001465	-3.7805
1.001953	-2.92583
1.002441	-1.07803
1.00293	1.13027
1.003418	2.94165
1.003906	3.72844
1.004395	3.21638
1.004883	1.59056
1.005371	-0.592538
1.005859	-2.58686
1.006348	-3.70068
1.006836	-3.54681
1.007324	-2.18331
1.007812	-0.0812579
1.008301	2.04009
1.008789	3.44981
1.009277	3.65754
1.009766	2.59495
1.010254	0.631509
1.010742	-1.56157
1.01123	-3.23117
1.011719	-3.79579
1.012207	-3.0612
1.012695	-1.28631
1.013184	0.919871
1.013672	2.8025
1.01416	3.70764
1.014648	3.32282
1.015137	1.78549
1.015625	-0.375206
1.016113	-2.42132
1.016602	-3.64484
1.01709	-3.62011
1.017578	-2.35818
1.018066	-0.299136
1.018555	1.85373
1.019043	3.36052
1.019531	3.69602
1.02002	2.74736
1.020508	0.845553
1.020996	-1.35859
1.021484	-3.10969
1.021973	-3.79825
1.022461	-3.18617
1.022949	-1.49062
1.023437	0.707161
1.023926	2.65264
1.024414	3.67425
1.024902	3.41638
1.025391	1.97374
1.025879	-0.158338
1.026367	-2.24874
1.026855	-3.57669
1.027344	-3.68107
1.027832	-2.52686
1.02832	-0.517124
1.028809	1.6611
1.029297	3.25931
1.029785	3.72128
1.030273	2.89013
1.030762	1.05665
1.03125	-1.15162
1.031738	-2.97788
1.032227	-3.7882
1.032715	-3.30028
1.033203	-1.68913
1.033691	0.491282
1.03418	2.49428
1.034668	3.62835
1.035156	3.49901
1.035645	2.15505
1.036133	0.0616481
1.036621	-2.06692
1.037109	-3.4964
1.037598	-3.72914
1.038086	-2.68653
1.038574	-0.733452
1.039062	1.46263
1.039551	3.14659
1.040039	3.7343
1.040527	3.02303
1.041016	1.26396
1.041504	-0.941337
1.041992	-2.83624
1.04248	-3.76566
1.042969	-3.40488
1.043457	-1.88229
1.043945	0.273536
1.044434	2.3277
1.044922	3.57023
1.04541	3.56918
1.045898	2.32964
1.046387	0.280016
1.046875	-1.879
1.047363	-3.40423
1.047852	-3.76472
1.04834	-2.83707
1.048828	-0.94631
1.049316	1.25922
1.049805	3.02357
1.050293	3.7344
1.050781	3.14573
1.05127	1.4665
1.051758	-0.726868
1.052246	-2.68542
1.052734	-3.72935
